system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_00000000000000000001_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.08802569831369,13.060022010879045]}"
0_00000000000000000002_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.99765518073126,12.877753839731195]}"
0_00000000000000000003_0,2019-05-01,0,1,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.86227906741445,12.344603718606258]}"
0_00000000000000000005_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.3523054806198,10.907209432486612]}"
0_00000000000000000006_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.0617948920174,13.010345175667236]}"
0_00000000000000000007_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.1039258788426,12.767710217426552]}"
0_00000000000000000008_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.9099796090012,13.154794273353655]}"
0_00000000000000000009_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.05838129393774,12.868770686889999]}"
0_0000000000000000000a_0,2019-05-01,0,1,0,1,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.87063339955677,12.33553073423665]}"
0_0000000000000000000b_0,2019-05-01,0,1,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.09763767185376,12.900930374061478]}"
0_0000000000000000000c_0,2019-05-01,0,1,1,1,1,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94645120953645,13.338320085899273]}"
0_0000000000000000000d_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.07526962127919,13.112483623471626]}"
0_0000000000000000000e_0,2019-05-01,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.21073099184257,11.22691984210475]}"
0_0000000000000000000f_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.30550325431717,11.290430732692]}"
0_00000000000000000010_0,2019-05-01,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.33227304978394,11.037375317155531]}"
0_00000000000000000011_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.94743935634898,12.319181396065677]}"
0_00000000000000000012_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.21665987271776,11.181644751785125]}"
0_00000000000000000013_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.09278676931952,12.996600951820207]}"
0_00000000000000000014_0,2019-05-01,0,0,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.28825560086207,10.904963644276313]}"
0_00000000000000000015_0,2019-05-01,0,1,0,1,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.97672443461128,13.581404201782016]}"
0_00000000000000000016_0,2019-05-01,0,1,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.05415921210238,12.723063947805812]}"
0_00000000000000000018_0,2019-05-01,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.93971384490555,13.69665805273455]}"
0_0000000000000000001a_0,2019-05-01,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.12144302688293,13.5880517348845]}"
0_0000000000000000001b_0,2019-05-01,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.8731486823523,12.293040421297798]}"
0_0000000000000000001d_0,2019-05-01,0,1,0,0,0,,11,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.26310277290673,11.265727062378714]}"
0_0000000000000000001f_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.93486294237131,13.154255284183183]}"
0_00000000000000000020_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.0813781652112,13.466779171528364]}"
0_00000000000000000021_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.05604567419903,12.676800710673657]}"
0_00000000000000000022_0,2019-05-01,0,1,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.01364519278859,13.639794695249785]}"
0_00000000000000000023_0,2019-05-01,0,1,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.91923225642763,12.623889940439017]}"
0_00000000000000000024_0,2019-05-01,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.92489164271758,12.36167170900453]}"
0_00000000000000000025_0,2019-05-01,0,1,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.01104007846465,13.701149629155148]}"
0_00000000000000000026_0,2019-05-01,0,1,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.91545933223432,13.622277547209453]}"
0_00000000000000000027_0,2019-05-01,0,1,0,0,0,,14,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.35742587773927,11.2739017314642]}"
0_00000000000000000028_0,2019-05-01,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.89327094471658,12.36544463319783]}"
