system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_00000000000000000009_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.87867706857718,24.297317394515375]}"
0_0000000000000000000a_0,2019-07-16,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.88819921058884,24.29435295407778]}"
0_0000000000000000000b_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.87939572080447,24.292825818094776]}"
0_0000000000000000000c_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.85020047407059,24.290939355998127]}"
0_0000000000000000000d_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.84552923459317,24.290759692941304]}"
0_0000000000000000000f_0,2019-07-16,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.86062093136637,24.281147719401226]}"
0_00000000000000000011_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.89808067871415,24.278452773548864]}"
0_00000000000000000012_0,2019-07-16,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.95997460179,24.301449644822323]}"
0_00000000000000000013_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.9592559495627,24.30028183495297]}"
0_00000000000000000014_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.98521726127375,24.296868236873316]}"
0_00000000000000000015_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.95368639480115,24.292825818094776]}"
0_00000000000000000016_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.9232335066695,24.290849524469714]}"
0_00000000000000000017_0,2019-07-16,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.91910125636255,24.28824441014577]}"
0_00000000000000000018_0,2019-07-16,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.92898272448787,24.28743592639006]}"
0_00000000000000000019_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.94928464990898,24.287525757918473]}"
0_0000000000000000001a_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.97821040205761,24.28554946429341]}"
0_0000000000000000001b_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.93248615409594,24.280339235645517]}"
0_0000000000000000001c_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.90625534779964,24.276745974509037]}"
0_00000000000000000284_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.21715769335157,22.23083291492683]}"
0_00000000000000000285_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.16245029254868,22.213225935358086]}"
0_00000000000000000286_0,2019-07-16,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.1867048052199,22.19768508094282]}"
0_00000000000000000287_0,2019-07-16,0,0,0,0,0,,9,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.18463868006643,22.196607102601874]}"
