system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_1_1_00000000000000000000_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88319609068888,12.112479049189774]}"
0_1_1_00000000000000000001_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9562291232878,12.605204982529331]}"
0_1_1_00000000000000000002_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91526594633194,12.380536329971038]}"
0_1_1_00000000000000000003_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9630563194471,12.417007930506292]}"
0_1_1_00000000000000000004_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94230523638394,12.612122010217051]}"
0_1_1_00000000000000000005_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.97787852163508,12.52363795473128]}"
0_1_1_00000000000000000006_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91481678868989,12.545287353078558]}"
0_1_1_00000000000000000007_0,2018-01-04,0,0,0,0,0,,16,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88993345531978,12.645090181144239]}"
0_1_1_00000000000000000008_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.76596594611128,12.181200168424917]}"
0_1_1_00000000000000000009_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.77351179449789,12.304808351519764]}"
0_1_1_0000000000000000000a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75150307003696,12.080768519660355]}"
0_1_1_0000000000000000000b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89918610274621,11.952938254730148]}"
0_1_1_0000000000000000000c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75949807606563,12.1224503488435]}"
0_1_1_0000000000000000000d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.96170884652093,12.452671047285836]}"
0_1_1_0000000000000000000e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87232647575104,12.168084765276772]}"
0_1_1_0000000000000000000f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86019921941542,11.968479109145415]}"
0_1_1_00000000000000000010_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91149302213864,12.518966715253857]}"
0_1_1_00000000000000000011_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94994091629896,12.059208952841486]}"
0_1_1_00000000000000000012_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8464549955684,12.628201853802791]}"
0_1_1_00000000000000000013_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94113742651459,12.16107790606064]}"
0_1_1_00000000000000000014_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.9202066803946,12.453569362569956]}"
0_1_1_00000000000000000015_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.0449826733588,12.54349072251032]}"
0_1_1_00000000000000000016_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83531588604531,12.474589940218353]}"
0_1_1_00000000000000000017_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8322616140793,12.241387292460924]}"
0_1_1_00000000000000000018_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.92667455044027,12.59963542776779]}"
0_1_1_00000000000000000019_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02342310653994,12.480159494979894]}"
0_1_1_0000000000000000001a_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82444627110746,12.571248664789614]}"
0_1_1_0000000000000000001b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78779500751538,12.339393489958365]}"
0_1_1_0000000000000000001c_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95389350354908,12.344064729435786]}"
0_1_1_0000000000000000001d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90233020624063,12.117150288667196]}"
0_1_1_0000000000000000001e_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78842382821428,12.349544452668916]}"
0_1_1_0000000000000000001f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88346558527412,12.217492105903347]}"
0_1_1_00000000000000000020_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02557906322183,12.488873153235854]}"
0_1_1_00000000000000000022_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.02926215588671,12.4689305539284]}"
0_1_1_00000000000000000023_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87035018212597,12.355832659657752]}"
0_1_1_00000000000000000024_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83837015801132,12.343525740265315]}"
0_1_1_00000000000000000025_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.93475938799735,12.191171468078643]}"
0_1_1_00000000000000000026_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.99746179482888,12.375775258965206]}"
0_1_1_00000000000000000027_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.86163652387002,12.062532719392728]}"
0_1_1_00000000000000000028_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.936645850094,12.154430372958156]}"
0_1_1_00000000000000000029_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82408694499382,12.542772070283025]}"
0_1_1_0000000000000000002a_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.82812936377236,12.454647340910899]}"
0_1_1_0000000000000000002b_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87070950823961,12.279565692036005]}"
0_1_1_0000000000000000002c_0,2018-01-04,0,0,0,0,0,,8,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78465090402096,12.362390361231824]}"
