system:index,CID,Date,HYDRA,H_S_RLCMST,RLCMS,Slope,WaterPlane,first,system:time_start,.geo
1_1_1_1_1_1_1_1_1_1_00000000000000000082,0,1568012400000,0,110.0,10.0,1,0,0.11337464302778244,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.87274712431733,11.883967490438103]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000088,0,1568012400000,0,101.0,1.0,1,1,0.8759694695472717,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.02923150140339,11.851835143358873]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000081,0,1568012400000,1,1111.0,11.0,1,1,0.8217875957489014,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.99378368484128,11.244428743989236]}"
1_1_1_1_1_1_1_1_1_1_0000000000000000008b,0,1568012400000,1,1114.0,14.0,1,1,0.8674136996269226,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.01666290115355,11.9388291412849]}"
1_1_1_1_1_1_1_1_1_1_0000000000000000008d,0,1568012400000,1,1114.0,14.0,1,1,0.8704305291175842,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.04758539031012,11.937416057846137]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000004,0,1568012400000,0,210.0,10.0,2,0,0.27552318572998047,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.00843128931454,11.99328570199176]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000008,0,1568012400000,0,211.0,11.0,2,0,0.12769140303134918,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.01301902214188,11.220711877687474]}"
1_1_1_1_1_1_1_1_1_1_000000000000000001de,0,1568012400000,0,211.0,11.0,2,0,0.11045011132955551,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.87775039481485,10.851685640046629]}"
1_1_1_1_1_1_1_1_1_1_000000000000000001f6,0,1568012400000,0,211.0,11.0,2,0,0.11744073033332825,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.8572353027672,10.863093193156356]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000001,0,1568012400000,0,204.0,4.0,2,0,0.11208894103765488,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.1730851442586,12.087060767506522]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000005,0,1568012400000,0,214.0,14.0,2,0,0.11386078596115112,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.87940496142521,11.93859279938725]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000084,0,1568012400000,0,214.0,14.0,2,0,0.10709703713655472,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.0087208329422,11.922054022782094]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000089,0,1568012400000,0,214.0,14.0,2,0,0.1054079607129097,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.99321955839545,12.006618077632572]}"
1_1_1_1_1_1_1_1_1_1_0000000000000000008e,0,1568012400000,0,214.0,14.0,2,1,0.551051914691925,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.1207213467878,11.995998097269256]}"
1_1_1_1_1_1_1_1_1_1_000000000000000001f7,0,1568012400000,1,1211.0,11.0,2,1,0.8623392581939697,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.960948760184,10.840578331586283]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000000,0,1568012400000,1,1214.0,14.0,2,1,0.8566867113113403,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[105.09842666338271,12.02877645011639]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000003,0,1568012400000,1,1214.0,14.0,2,1,0.7387834191322327,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.9489289230698,11.954927097406607]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000083,0,1568012400000,1,1214.0,14.0,2,1,0.870316743850708,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.99350508096151,11.88904175349697]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000002,0,1568012400000,0,310.0,10.0,3,0,0.16989371180534363,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.87287366503905,11.90592785083298]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000006,0,1568012400000,0,310.0,10.0,3,0,0.10907421261072159,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.91698614182921,11.885020920754984]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000085,0,1568012400000,0,310.0,10.0,3,0,0.11296852678060532,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.96383694151982,11.92301248735542]}"
1_1_1_1_1_1_1_1_1_1_00000000000000000086,0,1568012400000,0,314.0,14.0,3,0,0.11178185790777206,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.89634995019007,11.927237857047903]}"
1_1_1_1_1_1_1_1_1_1_0000000000000000008a,0,1568012400000,0,314.0,14.0,3,0,0.3560110926628113,2019-09-09T07:00:00,"{""type"":""Point"",""coordinates"":[104.88663143086055,11.991633379341346]}"
